sciName	kingdom	taxID	locus	GOID	GOTerm
Arabidopsis thaliana	eukaryota	3702	AT1G01010	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G01030	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G01030	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G01040	GO:0010228	vegetative to reproductive phase transition of meristem
Arabidopsis thaliana	eukaryota	3702	AT1G01040	GO:0010431	seed maturation
Arabidopsis thaliana	eukaryota	3702	AT1G01040	GO:0009880	embryonic pattern specification
Arabidopsis thaliana	eukaryota	3702	AT1G01040	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G01060	GO:0048574	long-day photoperiodism, flowering
Arabidopsis thaliana	eukaryota	3702	AT1G01120	GO:0042335	cuticle development
Arabidopsis thaliana	eukaryota	3702	AT1G01160	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G01280	GO:0010208	pollen wall assembly
Arabidopsis thaliana	eukaryota	3702	AT1G01280	GO:0080110	sporopollenin biosynthetic process
Arabidopsis thaliana	eukaryota	3702	AT1G01280	GO:0010584	pollen exine formation
Arabidopsis thaliana	eukaryota	3702	AT1G01470	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G01510	GO:0009965	leaf morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G01550	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G01550	GO:0048367	shoot development
Arabidopsis thaliana	eukaryota	3702	AT1G01640	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G01690	GO:0009553	embryo sac development
Arabidopsis thaliana	eukaryota	3702	AT1G01690	GO:0009555	pollen development
Arabidopsis thaliana	eukaryota	3702	AT1G01720	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G01950	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G01960	GO:0009561	megagametogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G02050	GO:0010584	pollen exine formation
Arabidopsis thaliana	eukaryota	3702	AT1G02065	GO:0009556	microsporogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G02065	GO:0009554	megasporogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G02065	GO:0048653	anther development
Arabidopsis thaliana	eukaryota	3702	AT1G02090	GO:0009640	photomorphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G02140	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G02140	GO:0010183	pollen tube guidance
Arabidopsis thaliana	eukaryota	3702	AT1G02205	GO:0042335	cuticle development
Arabidopsis thaliana	eukaryota	3702	AT1G02220	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G02230	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G02250	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G02580	GO:0048317	seed morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G02730	GO:0048367	shoot development
Arabidopsis thaliana	eukaryota	3702	AT1G02780	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G02800	GO:0007389	pattern specification process
Arabidopsis thaliana	eukaryota	3702	AT1G02820	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G03010	GO:0009860	pollen tube growth
Arabidopsis thaliana	eukaryota	3702	AT1G03060	GO:0010090	trichome morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G03120	GO:0009845	seed germination
Arabidopsis thaliana	eukaryota	3702	AT1G03120	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G03160	GO:0010228	vegetative to reproductive phase transition of meristem
Arabidopsis thaliana	eukaryota	3702	AT1G03490	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G03880	GO:0009845	seed germination
Arabidopsis thaliana	eukaryota	3702	AT1G04010	GO:0010150	leaf senescence
Arabidopsis thaliana	eukaryota	3702	AT1G04020	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G04110	GO:0010103	stomatal complex morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G04160	GO:0048767	root hair elongation
Arabidopsis thaliana	eukaryota	3702	AT1G04400	GO:0010075	regulation of meristem growth
Arabidopsis thaliana	eukaryota	3702	AT1G04450	GO:0009860	pollen tube growth
Arabidopsis thaliana	eukaryota	3702	AT1G04550	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G04550	GO:0009880	embryonic pattern specification
Arabidopsis thaliana	eukaryota	3702	AT1G04550	GO:0010051	xylem and phloem pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G04630	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G04635	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G04870	GO:0010228	vegetative to reproductive phase transition of meristem
Arabidopsis thaliana	eukaryota	3702	AT1G04950	GO:0009860	pollen tube growth
Arabidopsis thaliana	eukaryota	3702	AT1G05180	GO:0009965	leaf morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G05190	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G05230	GO:0010090	trichome morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G05470	GO:0010588	cotyledon vascular tissue pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G05470	GO:0010305	leaf vascular tissue pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G05470	GO:0010067	procambium histogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G05470	GO:0010051	xylem and phloem pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G05580	GO:0010183	pollen tube guidance
Arabidopsis thaliana	eukaryota	3702	AT1G05620	GO:0010150	leaf senescence
Arabidopsis thaliana	eukaryota	3702	AT1G05630	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G05680	GO:0010016	shoot morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G05690	GO:0009553	embryo sac development
Arabidopsis thaliana	eukaryota	3702	AT1G05690	GO:0009555	pollen development
Arabidopsis thaliana	eukaryota	3702	AT1G05850	GO:0010053	root epidermal cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G06040	GO:0009640	photomorphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G06220	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G06230	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G06520	GO:0048235	pollen sperm cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G07340	GO:0009555	pollen development
Arabidopsis thaliana	eukaryota	3702	AT1G07490	GO:0048367	shoot development
Arabidopsis thaliana	eukaryota	3702	AT1G07630	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G07890	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G08030	GO:0019827	stem cell maintenance
Arabidopsis thaliana	eukaryota	3702	AT1G08030	GO:0010082	regulation of root meristem growth
Arabidopsis thaliana	eukaryota	3702	AT1G08090	GO:0048527	lateral root development
Arabidopsis thaliana	eukaryota	3702	AT1G08100	GO:0048527	lateral root development
Arabidopsis thaliana	eukaryota	3702	AT1G08260	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G08465	GO:0010158	abaxial cell fate specification
Arabidopsis thaliana	eukaryota	3702	AT1G08840	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G08910	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G09000	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G09080	GO:0009860	pollen tube growth
Arabidopsis thaliana	eukaryota	3702	AT1G09090	GO:0009845	seed germination
Arabidopsis thaliana	eukaryota	3702	AT1G09100	GO:0009553	embryo sac development
Arabidopsis thaliana	eukaryota	3702	AT1G09100	GO:0009555	pollen development
Arabidopsis thaliana	eukaryota	3702	AT1G09530	GO:0009704	de-etiolation
