sciName	kingdom	taxID	locus	earliestExprStage	stageSerial
Caenorhabditis elegans	eukaryota	6239	WBGene00000001	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000002	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000003	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000004	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000006	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000007	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000016	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000017	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000018	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000020	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000022	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000035	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000036	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000037	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000039	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000040	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000041	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000042	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000051	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000055	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000056	L4 larva	4
Caenorhabditis elegans	eukaryota	6239	WBGene00000058	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000059	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000063	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000064	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000066	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000067	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000068	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000069	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000070	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000071	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000072	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000073	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000074	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000075	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000079	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000080	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000081	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000083	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000084	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000085	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000086	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000090	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000092	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000095	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000096	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000097	L1 larva	2
Caenorhabditis elegans	eukaryota	6239	WBGene00000098	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000099	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000101	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000102	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000103	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000105	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000106	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000107	embryo	1
Caenorhabditis elegans	eukaryota	6239	WBGene00000109	embryo	1
