Gene	Protein.class	TF	Transporters	Receptors	Enzymes	Peptidase	Kinase	Cancer	RBP
TSPAN6	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
TNMD	Predicted membrane proteins	0	0	0	0	0	0	0	0
DPM1	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	0	0	0	1	0	0	0	0
SCYL3	Enzymes, Predicted intracellular proteins	0	0	0	1	0	1	0	0
C1orf112	Predicted intracellular proteins	0	0	0	0	0	0	0	0
FGR	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	0	0	0	1	0	1	0	0
CFH	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	0	0	0	0	0	0	1	0
FUCA2	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	1	0	0	0	0
GCLC	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	1	0	0	0	0
NFYA	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
STPG1	Predicted intracellular proteins	0	0	0	0	0	0	0	0
NIPAL3	Predicted intracellular proteins, Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
LAS1L	Disease related genes, Predicted intracellular proteins	0	0	0	0	0	0	0	1
ENPP4	Enzymes, Predicted membrane proteins	0	0	0	1	0	0	0	0
SEMA3F	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
CFTR	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	0	1	0	1	0	0	1	0
ANKIB1	Predicted intracellular proteins	0	0	0	0	0	0	0	0
CYP51A1	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	1	0	0	0	0
KRIT1	Disease related genes, Predicted intracellular proteins	0	0	0	0	0	0	0	0
RAD52	Cancer-related genes, Predicted intracellular proteins	0	0	0	0	0	0	1	0
BAD	Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins	0	0	0	0	0	0	1	0
LAP3	Enzymes, Plasma proteins, Predicted intracellular proteins	0	0	0	1	1	0	0	0
CD99	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
HS3ST1	Enzymes, Predicted secreted proteins	0	0	0	1	0	0	0	0
AOC1	Enzymes, Predicted secreted proteins	0	0	0	1	0	0	0	0
WNT16	Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
HECW1	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	0
MAD1L1	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
LASP1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	1	0
SNX11	Predicted intracellular proteins	0	0	0	0	0	0	0	0
TMEM176A	Predicted membrane proteins	0	0	0	0	0	0	0	0
M6PR	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
KLHL13	Predicted intracellular proteins	0	0	0	0	0	0	0	0
CYP26B1	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
ICA1	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
DBNDD1	Predicted intracellular proteins	0	0	0	0	0	0	0	0
ALS2	Disease related genes, Predicted intracellular proteins	0	0	0	0	0	0	0	0
CASP10	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	0	0	0	1	1	0	1	0
CFLAR	Cancer-related genes, Enzymes, Predicted intracellular proteins	0	0	0	1	1	0	1	0
TFPI	Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
NDUFAF7	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	0
RBM5	Predicted intracellular proteins	0	0	0	0	0	0	0	1
MTMR7	Predicted intracellular proteins	0	0	0	0	0	0	0	0
SLC7A2	Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
ARF5	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
SARM1	Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
POLDIP2	Predicted intracellular proteins	0	0	0	0	0	0	0	0
PLXND1	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
AK2	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	0	0	0	1	0	0	0	0
CD38	Cancer-related genes, CD markers, Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	1	0
FKBP4	Enzymes, Plasma proteins, Predicted intracellular proteins	0	0	0	1	0	0	0	0
KDM1A	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
RBM6	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	1	1
CAMKK1	Enzymes, Predicted intracellular proteins	0	0	0	1	0	1	0	0
RECQL	Enzymes, Plasma proteins, Predicted intracellular proteins	0	0	0	1	0	0	0	0
VPS50	Predicted intracellular proteins	0	0	0	0	0	0	0	0
HSPB6	Predicted intracellular proteins	0	0	0	0	0	0	0	0
ARHGAP33	Predicted intracellular proteins	0	0	0	0	0	0	0	0
NDUFAB1	Predicted intracellular proteins	0	0	0	0	0	0	0	0
PDK4	Enzymes, Predicted intracellular proteins	0	0	0	1	0	1	0	0
SLC22A16	Predicted membrane proteins	0	1	0	0	0	0	0	0
ZMYND10	Disease related genes, Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
ABCB5	Predicted intracellular proteins, Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
ARX	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
SLC25A13	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	0	1	0	0	0	0	0	0
ST7	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
CDC27	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	1	0
SLC4A1	Blood group antigen proteins, CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
CALCR	Predicted membrane proteins, Predicted secreted proteins	0	0	1	0	0	0	0	0
HCCS	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	0	0	0	1	0	0	0	0
DVL2	Predicted intracellular proteins	0	0	0	0	0	0	0	0
PRSS22	Enzymes, Predicted secreted proteins	0	0	0	1	1	0	0	0
UPF1	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	1
SKAP2	Predicted intracellular proteins	0	0	0	0	0	0	0	0
SLC25A5	FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
MCUB	Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
HOXA11	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	1	0
POLR2J	Predicted intracellular proteins, RNA polymerase related proteins	0	0	0	0	0	0	0	1
DHX33	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	1
MEOX1	Disease related genes, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
THSD7A	Predicted membrane proteins	0	0	0	0	0	0	0	0
LIG3	Enzymes, Plasma proteins, Predicted intracellular proteins	0	0	0	1	0	0	0	0
RPAP3	Predicted intracellular proteins	0	0	0	0	0	0	0	0
ACSM3	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	0
AC004381.6	Predicted intracellular proteins	0	0	0	0	0	0	0	1
CIAPIN1	Predicted intracellular proteins	0	0	0	0	0	0	0	0
SPPL2B	Enzymes, Predicted membrane proteins	0	0	0	1	1	0	0	0
FAM214B	Predicted intracellular proteins	0	0	0	0	0	0	0	0
COPZ2	Predicted intracellular proteins	0	0	0	0	0	0	0	0
PRKAR2B	Predicted intracellular proteins	0	0	0	0	0	0	0	0
MSL3	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	1
CREBBP	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	0	0	0	1	0	0	1	0
TSPOAP1	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
MPO	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	1	0	0	1	0
PON1	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters	0	1	0	1	0	0	1	0
GCFC2	Predicted intracellular proteins	0	0	0	0	0	0	0	1
WDR54	Predicted intracellular proteins	0	0	0	0	0	0	0	0
CROT	Enzymes, Plasma proteins, Predicted intracellular proteins, Transporters	0	1	0	1	0	0	0	0
ABCB4	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	0	1	0	1	0	0	0	0
KMT2E	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	1	0	0	0	0
RHBDD2	Enzymes, Predicted membrane proteins	0	0	0	1	1	0	0	0
SOX8	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
IBTK	Predicted intracellular proteins	0	0	0	0	0	0	0	0
ZNF195	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
MYCBP2	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	0
FBXL3	Predicted intracellular proteins	0	0	0	0	0	0	0	0
ITGAL	CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
PDK2	Enzymes, Predicted intracellular proteins	0	0	0	1	0	1	0	0
ITGA3	Cancer-related genes, CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	1	0
ZFX	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
LAMP2	CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
ITGA2B	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	1	0
ASB4	Predicted intracellular proteins	0	0	0	0	0	0	0	0
GDE1	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	1	0	0	0	0
C19orf60	Predicted intracellular proteins	0	0	0	0	0	0	0	0
CRLF1	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
OSBPL7	Predicted intracellular proteins	0	0	0	0	0	0	0	0
TMEM98	Disease related genes, Predicted membrane proteins	0	0	0	0	0	0	0	0
YBX2	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	1
KRT33A	Predicted intracellular proteins	0	0	0	0	0	0	0	0
MAP3K14	Enzymes, Predicted intracellular proteins	0	0	0	1	0	1	0	0
ABCC8	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
CACNG3	Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
TMEM132A	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
AP2B1	Cancer-related genes, Predicted intracellular proteins	0	0	0	0	0	0	1	0
TAC1	Predicted secreted proteins	0	0	0	0	0	0	0	0
ZNF263	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
CX3CL1	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
SPATA20	Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
CACNA1G	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels	0	0	0	0	0	0	0	0
TNFRSF12A	Cancer-related genes, CD markers, Predicted membrane proteins, Predicted secreted proteins	0	0	1	0	0	0	1	0
DLX6	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
MAP3K9	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	1	0	1	0	0
RALA	Predicted intracellular proteins, RAS pathway related proteins	0	0	0	0	0	0	0	0
BAIAP2L1	Predicted intracellular proteins	0	0	0	0	0	0	0	0
KDM7A	Predicted secreted proteins	0	0	0	0	0	0	0	0
ETV1	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	1	0
AGK	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	1	0	0	0	0
ALDH3B1	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	0
TTC22	Predicted intracellular proteins	0	0	0	0	0	0	0	0
PHTF2	Predicted membrane proteins, Transcription factors	1	0	0	0	0	0	0	0
CCL26	Predicted secreted proteins	0	0	0	0	0	0	0	0
FARP2	Predicted intracellular proteins	0	0	0	0	0	0	0	0
USH1C	Cancer-related genes, Disease related genes, Predicted intracellular proteins	0	0	0	0	0	0	1	0
GGCT	Enzymes, Plasma proteins, Predicted intracellular proteins	0	0	0	1	0	0	0	0
DBF4	Predicted intracellular proteins	0	0	0	0	0	0	0	0
TBXA2R	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	0	0	1	0	0	0	0	0
IFRD1	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
LGALS14	Predicted intracellular proteins	0	0	0	0	0	0	0	0
COX10	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
GTF2IRD1	Disease related genes, Predicted intracellular proteins	1	0	0	0	0	0	0	0
PAF1	Predicted intracellular proteins	0	0	0	0	0	0	0	0
VPS41	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
ARHGAP44	Predicted intracellular proteins	0	0	0	0	0	0	0	0
ELAC2	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	0	0	0	1	0	0	0	1
SCIN	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
ARSD	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
PNPLA4	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	1	0	0	0	0
MYH13	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
ADIPOR2	Predicted membrane proteins	0	0	1	0	0	0	0	0
CDKL3	Enzymes, Predicted intracellular proteins	0	0	0	1	0	1	0	0
UPP2	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	0
PRSS21	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	1	1	0	0	0
MARK4	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	1	0	1	0	0
PROM1	CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
CCDC124	Predicted intracellular proteins	0	0	0	0	0	0	0	0
CEACAM21	Predicted membrane proteins	0	0	0	0	0	0	0	0
PAFAH1B1	Disease related genes, Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
NOS2	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	0	0	0	1	0	0	1	0
DNAH9	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
KIAA0100	Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
SLC13A2	Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
GAS7	Cancer-related genes, Disease related genes, Predicted intracellular proteins	0	0	0	0	0	0	1	0
TRAPPC6A	Predicted intracellular proteins	0	0	0	0	0	0	0	0
MATK	Cancer-related genes, Enzymes, Predicted intracellular proteins	0	0	0	1	0	1	1	0
CEACAM7	Predicted membrane proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
CD79B	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins	0	0	0	0	0	0	1	0
SCN4A	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	0	1	0	0	0	0	0	0
ST7L	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
TKTL1	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	0
PAX6	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	1	0	0	0	0	0	0	0
RPUSD1	Predicted intracellular proteins	0	0	0	0	0	0	0	1
RHBDF1	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	1	1	0	0	0
LUC7L	Predicted intracellular proteins	0	0	0	0	0	0	0	1
CACNA2D2	FDA approved drug targets, Predicted intracellular proteins, Transporters	0	1	0	0	0	0	0	0
BAIAP3	Predicted intracellular proteins	0	0	0	0	0	0	0	0
TSR3	Predicted intracellular proteins	0	0	0	0	0	0	0	1
PIGQ	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	1	0	0	0	0
CRAMP1	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
TEAD3	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
SELE	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	1	0
DNAJC11	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
FMO3	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	0	0	0	1	0	0	0	0
MYLIP	Enzymes, Plasma proteins, Predicted intracellular proteins	0	0	0	1	0	0	0	0
NOX1	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
E2F2	Plasma proteins, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
PSMB1	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	0	0	0	1	1	0	0	0
SYN1	Disease related genes, Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
JARID2	Plasma proteins, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
CDKL5	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	0	0	0	1	0	1	0	0
CAMK1G	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	1	0	1	0	0
CDK11A	Enzymes, Predicted intracellular proteins	0	0	0	1	0	1	0	0
NADK	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	0
TFAP2B	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	1	0
TFAP2D	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
DLEC1	Disease related genes, Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
CYTH3	Predicted intracellular proteins	0	0	0	0	0	0	0	0
ADAM22	Predicted membrane proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
SYPL1	Predicted membrane proteins	0	0	0	0	0	0	0	0
CYB561	Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
SPAG9	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
CELSR3	G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	0	0	1	0	0	0	0	0
AASS	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	0	0	0	1	0	0	0	0
PLEKHG6	Predicted intracellular proteins	0	0	0	0	0	0	0	0
SS18L2	Predicted intracellular proteins	0	0	0	0	0	0	0	0
MPND	Enzymes, Predicted intracellular proteins	0	0	0	1	1	0	0	0
MGST1	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	1	0	0	0	0
CRY1	Predicted intracellular proteins	0	0	0	0	0	0	0	0
PGLYRP1	Plasma proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
NFIX	Disease related genes, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
ST3GAL1	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	1	0	0	0	0
MMP25	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	1	1	0	0	0
IL32	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
PKD1	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
MAPK8IP2	Predicted intracellular proteins	0	0	0	0	0	0	0	0
MED24	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
RHOBTB2	Predicted intracellular proteins	0	0	0	0	0	0	0	0
HEATR5B	Predicted intracellular proteins	0	0	0	0	0	0	0	0
SEC62	Predicted membrane proteins	0	0	0	0	0	0	0	0
RPS20	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	0	0	0	0	0	0	0	1
CSDE1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	1	1
UBE3C	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	0
REV3L	Enzymes, Plasma proteins, Predicted intracellular proteins	0	0	0	1	0	0	0	0
TENM1	Predicted membrane proteins	0	0	0	0	0	0	0	0
PAX7	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	1	0
MASP2	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	0	0	0	1	1	0	0	0
IYD	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	0	0	0	1	0	0	0	0
FAM76A	Predicted intracellular proteins	0	0	0	0	0	0	0	0
TRAF3IP3	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
POMT2	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	0	0	0	1	0	0	0	0
VTA1	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
MLXIPL	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	1	0	0	0	0	0	0	0
BAZ1B	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	0	0	0	1	0	0	0	0
RANBP9	Predicted intracellular proteins	0	0	0	0	0	0	0	0
ETV7	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
SPRTN	Disease related genes, Predicted intracellular proteins	0	0	0	0	0	0	0	0
METTL13	Predicted intracellular proteins	0	0	0	0	0	0	0	0
DYRK4	Enzymes, Predicted intracellular proteins	0	0	0	1	0	1	0	0
